2021-05-07 18:13:08.325255	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fbb87d192-cfd4-4769-aa11-45f959ca27cf%2F&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&advancedQuery=date_released%3A%5B2009-01-01+TO+2021-12-31%5D&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates	Mixed biosamples
/experiments/ENCSR589FUJ/	ENCSR589FUJ	long read RNA-seq	long read RNA-seq			K562	K562	GEO:GSE143129	Homo sapiens K562 immortalized cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF694INI/,/files/ENCFF763VZC/,/files/ENCFF965OXS/,/files/ENCFF653KIB/,/files/ENCFF709YES/,/files/ENCFF652QLH/,/files/ENCFF533IBY/,/files/ENCFF546DOT/,/files/ENCFF514QIS/,/files/ENCFF065OFL/,/files/ENCFF991VSH/,/files/ENCFF298JGJ/,/files/ENCFF092NLB/,/files/ENCFF433YKW/,/files/ENCFF504GVG/,/files/ENCFF479SQR/,/files/ENCFF946RLA/,/files/ENCFF688NNQ/		ENCBS203BUH,ENCBS859NNO	1,2	1		Homo sapiens	adult	53 years										/replicates/2520c316-402c-442f-beeb-e0477eb39989/,/replicates/0493ef70-11ef-4582-af21-c4ab9395c787/	
/experiments/ENCSR947JHA/	ENCSR947JHA	long read RNA-seq	long read RNA-seq			PC-3	PC-3		PC-3 cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF834KTE/,/files/ENCFF801ZHP/,/files/ENCFF369ZIJ/,/files/ENCFF044LIA/,/files/ENCFF656JGF/		ENCBS555BGE	1	1		Homo sapiens	adult	62 years										/replicates/5fbcc8c5-246d-430e-a9f7-85f798591f25/	
/experiments/ENCSR530BOC/	ENCSR530BOC	long read RNA-seq	long read RNA-seq			progenitor cell of endocrine pancreas	progenitor cell of endocrine pancreas		H9-derived pancreatic progenitors	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF471YEK/,/files/ENCFF988RQM/,/files/ENCFF528JQR/,/files/ENCFF509GHY/,/files/ENCFF057RHY/,/files/ENCFF039JBB/,/files/ENCFF803KIA/,/files/ENCFF810OKQ/,/files/ENCFF161YNH/,/files/ENCFF829DRS/		ENCBS832MSN,ENCBS825BIV	1,2	1		Homo sapiens	embryonic	5 days										/replicates/cb012a1e-f93a-4012-b94f-6202c0f97bc7/,/replicates/360ef350-dbcf-4e52-9cde-9c19576b2762/	
/experiments/ENCSR803QWH/	ENCSR803QWH	long read RNA-seq	long read RNA-seq			psoas muscle tissue female adult (41 years)	psoas muscle		ENC4_46 W61 psoas #2	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF630XEC/,/files/ENCFF947ICH/,/files/ENCFF033TUK/,/files/ENCFF193WEX/,/files/ENCFF634KMV/		ENCBS070FKB	1	1		Homo sapiens	adult	41 years										/replicates/cde3f852-bf40-4ad1-b1c3-44f5a0f47dcb/	
/experiments/ENCSR994YZY/	ENCSR994YZY	long read RNA-seq	long read RNA-seq			heart left ventricle tissue male adult (40 years)	heart left ventricle		ENC4_53 W76 heart left ventricle	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF602MAI/,/files/ENCFF666QGE/,/files/ENCFF623IBV/,/files/ENCFF878WXP/,/files/ENCFF394ZIU/		ENCBS544CLL	1	1		Homo sapiens	adult	40 years										/replicates/9491171e-c2fd-448d-a1a4-14b50840d614/	
/experiments/ENCSR526TQU/	ENCSR526TQU	long read RNA-seq	long read RNA-seq			K562	K562		K562 Ljungman	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF696GDL/,/files/ENCFF516IEG/,/files/ENCFF322UJU/,/files/ENCFF103OYU/,/files/ENCFF391VFS/		ENCBS206PUV	1	1		Homo sapiens	adult	53 years										/replicates/bc365efb-c356-4c3f-afea-664bca20566b/	
/experiments/ENCSR648QZP/	ENCSR648QZP	long read RNA-seq	long read RNA-seq			mesenteric fat pad tissue female adult (59 years)	mesenteric fat pad		ENC4_93 W73 mesenteric fat pad FLASH	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF907SZK/,/files/ENCFF704ZHX/,/files/ENCFF248XYR/,/files/ENCFF971JDY/,/files/ENCFF025MQM/		ENCBS232CCX	1	1		Homo sapiens	adult	59 years										/replicates/82401f07-f0f8-4f83-aede-be24d9ca0451/	
/experiments/ENCSR706ANY/	ENCSR706ANY	long read RNA-seq	long read RNA-seq			GM12878	GM12878	GEO:GSE143130	Homo sapiens GM12878 immortalized cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF281TNJ/,/files/ENCFF475ORL/,/files/ENCFF329AYV/,/files/ENCFF902UIT/,/files/ENCFF242AOE/,/files/ENCFF247TLH/,/files/ENCFF093ZPA/,/files/ENCFF689LOP/,/files/ENCFF847ISA/,/files/ENCFF471OXU/,/files/ENCFF026DYG/,/files/ENCFF431IOE/,/files/ENCFF520MMC/,/files/ENCFF409QPB/,/files/ENCFF472BLB/,/files/ENCFF264HSA/,/files/ENCFF626GWM/,/files/ENCFF484NUG/,/files/ENCFF597RRM/,/files/ENCFF685VEM/,/files/ENCFF649PCO/,/files/ENCFF849WZC/,/files/ENCFF132HLS/,/files/ENCFF810UWA/,/files/ENCFF234YIJ/,/files/ENCFF615XZM/,/files/ENCFF596ODX/,/files/ENCFF538TCX/,/files/ENCFF192PJS/,/files/ENCFF694CBG/,/files/ENCFF538BNH/,/files/ENCFF299LDF/,/files/ENCFF296IKY/,/files/ENCFF996LST/,/files/ENCFF265EFZ/,/files/ENCFF784TJH/		ENCBS694MFZ,ENCBS844IZD,ENCBS229YYL,ENCBS657BPX	3,4,1,2	1		Homo sapiens	adult											/replicates/7cbb2dbc-687a-4aa1-851e-3264bd23a26e/,/replicates/dbba1532-3388-42a5-adbc-b8046c4bfd44/,/replicates/f9cfca7a-11f4-462e-9b43-b00ba6ea1c43/,/replicates/d0deccb8-d886-4743-8b75-e3336520c7d9/	
/experiments/ENCSR425HFS/	ENCSR425HFS	long read RNA-seq	long read RNA-seq			aorta tissue female adult (59 years)	aorta		ENC4_103 W73 aorta	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF902BIU/,/files/ENCFF999NQY/,/files/ENCFF745HHL/,/files/ENCFF138OIV/,/files/ENCFF796WTV/		ENCBS759AII	1	1		Homo sapiens	adult	59 years										/replicates/f2916c81-6845-4dbf-a386-4cd208cfbbe5/	
/experiments/ENCSR803XXZ/	ENCSR803XXZ	long read RNA-seq	long read RNA-seq			mucosa of descending colon tissue female adult (61 years)	mucosa of descending colon	GEO:GSE143132	ENC4_78 W80 mucosa of descending colon	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF511AVQ/,/files/ENCFF780YNG/,/files/ENCFF198RKB/,/files/ENCFF637DKU/,/files/ENCFF755ALG/,/files/ENCFF731THW/,/files/ENCFF932COO/,/files/ENCFF875MQS/,/files/ENCFF099CDN/		ENCBS825BLU	1	1		Homo sapiens	adult	61 years										/replicates/86a91fb4-1a66-427e-8f45-29308dccb965/	
